date,Unnamed: 0,cost,t1,t2,cap,pr,ne,ct,bw,cum.n,pt
68.58,1,460.05,14,46,687,0,1,0,0,14,0
67.33,2,452.99,10,73,1065,0,0,1,0,1,0
67.33,3,443.22,10,85,1065,1,0,1,0,1,0
68.0,4,652.32,11,67,1065,0,1,1,0,12,0
68.0,5,642.23,11,78,1065,1,1,1,0,12,0
67.92,6,345.39,13,51,514,0,1,1,0,3,0
68.17,7,272.37,12,50,822,0,0,0,0,5,0
68.42,8,317.21,14,59,457,0,0,0,0,1,0
68.42,9,457.12,15,55,822,1,0,0,0,5,0
68.33,10,690.19,12,71,792,0,1,1,1,2,0
68.58,11,350.63,12,64,560,0,0,0,0,3,0
68.75,12,402.59,13,47,790,0,1,0,0,6,0
68.42,13,412.18,15,62,530,0,0,1,0,2,0
68.92,14,495.58,17,52,1050,0,0,0,0,7,0
68.92,15,394.36,13,65,850,0,0,0,1,16,0
68.42,16,423.32,11,67,778,0,0,0,0,3,0
69.5,17,712.27,18,60,845,0,1,0,0,17,0
68.42,18,289.66,15,76,530,1,0,1,0,2,0
69.17,19,881.24,15,67,1090,0,0,0,0,1,0
68.92,20,490.88,16,59,1050,1,0,0,0,8,0
68.75,21,567.79,11,70,913,0,0,1,1,15,0
70.92,22,665.99,22,57,828,1,1,0,0,20,0
69.67,23,621.45,16,59,786,0,0,1,0,18,0
70.08,24,608.8,19,58,821,1,0,0,0,3,0
70.42,25,473.64,19,44,538,0,0,1,0,19,0
71.08,26,697.14,20,57,1130,0,0,1,0,21,0
67.25,27,207.51,13,63,745,0,0,0,0,8,1
67.17,28,288.48,9,48,821,0,0,1,0,7,1
67.83,29,284.88,12,63,886,0,0,0,1,11,1
67.83,30,280.36,12,71,886,1,0,0,1,11,1
67.25,31,217.38,13,72,745,1,0,0,0,8,1
67.83,32,270.71,7,80,886,1,0,0,1,11,1
